symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RUM,2024-03-07 05:00:00+00:00,6.69,6.9,6.62,6.75,1327123.0,11088.0,6.754667
MAPS,2024-03-07 05:00:00+00:00,0.88,0.9073,0.841,0.8763,270830.0,1116.0,0.873261
MLEC,2024-03-07 05:00:00+00:00,1.66,1.675,1.66,1.675,3773.0,63.0,1.782087
OPRT,2024-03-07 05:00:00+00:00,3.79,3.864,3.56,3.61,100603.0,1222.0,3.614626
PLTN,2024-03-07 05:00:00+00:00,10.71,10.75,10.71,10.71,39449.0,204.0,10.709946
RCRTW,2024-03-07 05:00:00+00:00,0.005,0.005,0.005,0.005,1000.0,1.0,0.005
MBNKP,2024-03-07 05:00:00+00:00,24.9001,24.9001,24.9001,24.9001,214.0,4.0,24.900239
NKTR,2024-03-07 05:00:00+00:00,0.9,0.9773,0.8801,0.9556,1803708.0,4573.0,0.935586
ONTX,2024-03-07 05:00:00+00:00,0.89,0.92,0.8865,0.9199,43980.0,281.0,0.907202
PTGX,2024-03-07 05:00:00+00:00,31.69,31.8575,30.835,30.89,351263.0,5863.0,31.069221
QNST,2024-03-07 05:00:00+00:00,14.85,15.42,14.85,15.27,262362.0,4680.0,15.238467
NLSPW,2024-03-07 05:00:00+00:00,0.0595,0.0637,0.05,0.0637,1388.0,5.0,0.058613
LIAN,2024-03-07 05:00:00+00:00,4.9,4.92,4.89,4.9,496434.0,1680.0,4.903039
NSSC,2024-03-07 05:00:00+00:00,41.17,41.26,40.5,40.89,539138.0,10371.0,40.906211
NUKKW,2024-03-07 05:00:00+00:00,0.0643,0.0643,0.0643,0.0643,500.0,2.0,0.0643
OCS,2024-03-07 05:00:00+00:00,11.99,11.99,11.5,11.78,5817.0,105.0,11.710442
MIST,2024-03-07 05:00:00+00:00,1.45,1.5598,1.45,1.5,257943.0,1256.0,1.492373
RGC,2024-03-07 05:00:00+00:00,5.04,5.04,4.98,4.98,5449.0,73.0,4.970825
RILYL,2024-03-07 05:00:00+00:00,18.78,19.045,16.5115,17.0501,17119.0,209.0,17.750714
MRVI,2024-03-07 05:00:00+00:00,7.27,7.34,6.96,7.19,1950030.0,17400.0,7.12276
RILYK,2024-03-07 05:00:00+00:00,19.51,19.89,19.43,19.58,8331.0,134.0,19.6382
MCRI,2024-03-07 05:00:00+00:00,69.71,70.05,69.42,69.96,61573.0,2841.0,69.859978
MRUS,2024-03-07 05:00:00+00:00,48.35,49.17,45.84,47.11,719110.0,9740.0,47.112935
OTLY,2024-03-07 05:00:00+00:00,1.05,1.07,1.0,1.0,1092968.0,3061.0,1.02597
PEBO,2024-03-07 05:00:00+00:00,28.85,29.0,28.11,28.16,126002.0,3338.0,28.324663
PHIO,2024-03-07 05:00:00+00:00,0.94,0.9499,0.8501,0.882,335464.0,1058.0,0.889827
PRQR,2024-03-07 05:00:00+00:00,1.8973,2.0,1.87,1.96,128440.0,752.0,1.944382
QCRH,2024-03-07 05:00:00+00:00,57.61,58.0,56.77,57.18,56345.0,2285.0,57.282869
LLYVA,2024-03-07 05:00:00+00:00,38.93,39.415,38.8,39.09,89306.0,1440.0,39.127115
ME,2024-03-07 05:00:00+00:00,0.5174,0.559,0.5032,0.5453,5268494.0,11032.0,0.534783
MSS,2024-03-07 05:00:00+00:00,1.63,1.64,1.54,1.58,105532.0,502.0,1.574015
PRPO,2024-03-07 05:00:00+00:00,6.3,6.3,6.1,6.1,1370.0,63.0,6.237526
ROMA,2024-03-07 05:00:00+00:00,1.28,1.32,1.17,1.17,325477.0,1366.0,1.223075
NA,2024-03-07 05:00:00+00:00,1.88,1.91,1.75,1.75,35937.0,227.0,1.825519
NTIC,2024-03-07 05:00:00+00:00,13.8706,14.28,13.8539,14.09,7442.0,261.0,14.096593
LKFN,2024-03-07 05:00:00+00:00,67.65,69.31,66.35,66.63,136405.0,3792.0,67.257298
MSFT,2024-03-07 05:00:00+00:00,406.12,409.78,402.24,409.14,18169054.0,353295.0,407.599254
